No,Active_Ingredient,Concentration,Drug_Name,License_Code,Form,Manufacturer,Made_In,Minimum_Unit,Quantity,Price_w_VAT,Price_Total,Bidder,Department_Hospital,Group,Year,Level,Fiscal_Year,code,Is_AB,Usage
5921,Cefixime,200mg,CEFDYVAX-200,VN-17752-14,Uống,Micro Labs Ltd - India,India,Viên,1e4,2249,2249e4,Cong Thanh,BV ĐK TW Thái nguyên,4,2015,national,2015-2016,C5921,TRUE,Oral
5932,Vancomycin,500mg,Vancomycin Normon 500mg,VN-16611-13,"Hộp 1 lọ, bột pha tiêm",Normon - Tây Ban Nha,Spain,Lọ,1e3,77e3,77e6,D.Nam,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C5932,TRUE,Injection
5947,Cefuroxime,"0,5g",Xorimax Tab 500mg 10's,VN-9850-10,Uống,Sandoz GmbH - Áo,Austria,Viên,7e3,12433,87031e3,DLTW2,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C5947,TRUE,Oral
5984,Amikacin,250mg,Selemycin 250mg/2ml,VN-12572-11,"Hộp 2 vỉ x 5 ống 2ml, dung dịch tiêm,Tiêm",Medochemie Ltd. - Cyprus,Cyprus,Ống/Lọ,5e3,31300,1565e5,G.Minh,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C5984,TRUE,Oral
5985,Ofloxacin,200 mg,Remecilox 200,VN-10367-10,"Hộp 10 vỉ x 10 viên, viên nén bao phim,Uống",Remedica Ltd. - Cyprus,Cyprus,Viên,25e3,2160,54e6,G.Minh,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C5985,TRUE,Oral
5998,Amoxicillin,500mg,Amoxicilin 500,VD-14181-11,Uống,CTCP Dược Hậu Giang - Việt Nam,Vietnam,Viên,3e5,530,159e6,H.Giang,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C5998,TRUE,Oral
6000,Cefalecin,500mg,Cephalexin 500,VD-13735-11,Uống,CTCP Dược Hậu Giang - Việt Nam,Vietnam,Viên,6e4,729,4374e4,H.Giang,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6000,TRUE,Oral
6016,Cefotaxime,1g,Taxibiotic 1000,VD-19007-13,"Hộp 10 lọ, Bột pha tiêm","Công ty CPDP Tenamyd - CSNQ: Labesfal Laboratorios 
Almiro, S.A Bồ Đào Nha/ Việt Nam",Vietnam,Lọ,5e4,11760,588e6,Hue,BV ĐK TW Thái nguyên,2,2015,national,2015-2016,C6016,TRUE,Injection
6017,Ceftriaxone,2g,Triaxobiotic 2000,VD-19454-13,"Hộp 10 lọ, Bột pha tiêm","Công ty CPDP Tenamyd - CSNQ: Labesfal Laboratorios 
Almiro, S.A Bồ Đào Nha/ Việt Nam",Vietnam,Lọ,2e3,45990,9198e4,Hue,BV ĐK TW Thái nguyên,2,2015,national,2015-2016,C6017,TRUE,Injection
6018,Cefuroxime,"1,5g",Cefurofast 1500,VD-19936-13,"Hộp 10 lọ, Bột pha tiêm","Công ty CPDP Tenamyd - CSNQ: Labesfal Laboratorios 
Almiro, S.A Bồ Đào Nha/ Việt Nam",Vietnam,Lọ,15e3,44100,6615e5,Hue,BV ĐK TW Thái nguyên,2,2015,national,2015-2016,C6018,TRUE,Injection
6022,Metronidazole,1%; 15g,Gelacmeigel,VD – 15490 - 11,H/ 1tube 15g gel bôi da,Medipharco Tenamyd BR s.r.l/Việt Nam,Vietnam,Tube,500,13500,675e4,Hue,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6022,TRUE,"NA"
6037,Cefuroxime,"1,5g","Cefuroxime Actavis 1,5g",VN-17805-14,"Hộp 5 lọ, bột pha dung dịch tiêm bắp hoặc tĩnh mạch, tiêm",Balkanpharma - Razgrad AD - Bulgaria,Bulgary,Lọ,1e4,44980,4498e5,K.Phuc,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C6037,TRUE,Injection
6046,Roxithromycin,250mg,Neazi,VD-10539-10,"Hộp 1 vỉ x 6 viên nang, uống","Công ty Cổ phần Dược Trung ương Mediplantex, Việt Nam",Vietnam,Viên,7e3,1760,1232e4,Mediplantex,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6046,TRUE,Oral
6051,Cefuroxime,"0,5g",Cefuroxime 500mg,VD-6801-09,"Hộp 01 vỉ x 10 viên, Viên nén bao phim, uống","CTCPDP
Minh Dân- Việt Nam",Vietnam,Viên,3e3,2772,8316e3,Minh dan,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6051,TRUE,Oral
6052,Meropenem,1g,DBL Meropenem,VN-12312-11,Tiêm,Hospira Healthcare India Private Limited - Ấn Độ,India,Lọ,1e3,178500,1785e5,N.Linh,BV ĐK TW Thái nguyên,2,2015,national,2015-2016,C6052,TRUE,Injection
6069,Amikacin,500mg,Amikan,VN-17299-13,"Hộp 1 lọ, Dung dịch tiêm",Anfarm Hellas S.A - Hy Lạp,Greece,Ống/Lọ,3e3,39800,1194e5,N.Phuong,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C6069,TRUE,Injection
6070,Levofloxacin,750mg/150ml,Lefloinfusion,VN-11715-11,"Hộp 1 chai, Dung dịch tiêm truyền",Yuria-Pharm - Ukraine,Ukraine,Chai,1500,234e3,351e6,N.Phuong,BV ĐK TW Thái nguyên,2,2015,national,2015-2016,C6070,TRUE,Injection
6102,Metronidazole,"500mg
/100ml",Metronidazol Inj USP 500mg,VN-5608-10,Tiêm truyền,"Rotex medica GmbH, Đức",Germany,TúiChai,2e4,33e3,66e7,P.Linh,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C6102,TRUE,Injection
6103,Tobramicin,80mg,Medphatobra 80,VN-6949-08,Tiêm,"Medphano Arzneimtel, Đức",Germany,Lọ,1e3,36500,365e5,P.Linh,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C6103,TRUE,Injection
6120,Moxifloxacin,"0,5%/ 3ml",Isotic Moxicin,VD-16532-12,"Hộp/1 lọ 3ml dung dịch nhỏ mắt, tai",Công ty cổ phần Dược Phẩm Hà Nội- Việt Nam,Vietnam,Lọ,1e3,23e3,23e6,PTYTHN,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6120,TRUE,Ocular/Otic route
6129,Amikacin,500mg,Itamekacin,VD-18570-13,Hộp 05 ống 2 ml dung dịch tiêm. Tiêm,Medlac Pharma Italy - Vietnam,Vietnam,Ống/Lọ,3e3,1e4,3e7,Sapharco,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6129,TRUE,Injection
6130,Ceftezol,1g,TEZACEF,VD-10786-10,Tiêm,Công ty TNHH Dược phẩm Shinpoong Daewoo - Việt Nam,Vietnam,Lọ,2e4,38400,768e6,Shinpoong,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6130,TRUE,Injection
6142,Cefixime,100mg/ 5ml,Bactirid 40ml,"VN-5205-10
(có bản gia hạn hiệu lực số đăng ký)","Hộp 1 lọ 40ml sirô khô, Uống,",Medicraft Pharma - Pakistan,Pakistan,Lọ 40Ml,1e3,58990,5899e4,T.An phat,BV ĐK TW Thái nguyên,5,2015,national,2015-2016,C6142,TRUE,Oral
6149,Cefazolin,1g,Biofazolin,VN-10782-10,"Hộp 01 lọ, bột pha tiêm, tiêm","Pharmaceutical Works  Polpharma S.A
Ba Lan",Poland,Lọ,8e3,21800,1744e5,T.P.Bac,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C6149,TRUE,Injection
6174,Cefixime,400mg,Bivicef 400,VD-15779-11,Uống,Pharbaco - Việt Nam,Vietnam,Viên,5e3,3600,18e6,Th.Thao,BV ĐK TW Thái nguyên,5,2015,national,2015-2016,C6174,TRUE,Oral
6175,Ciprofloxacin,400mg/200ml,Basmicin 400,VD-18768-13,Tiêm truyền,Pharbaco - Việt Nam,Vietnam,Lọ,1e3,94e3,94e6,Th.Thao,BV ĐK TW Thái nguyên,5,2015,national,2015-2016,C6175,TRUE,Injection
6182,Gentamicin,40mg/ 1ml,Gentamycin Kabi 40mg/ml,VD-22590-15,"Hộp 10 ống x 1ml, dung dịch tiêm, đường tiêm",Fresenius Kabi Bidiphar -Việt Nam,Vietnam,Ống,1e4,945,945e4,TMTN,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6182,TRUE,Injection
6183,Metronidazole,500mg/100ml,Metronidazol Kabi,VD-12493-10,"Thùng 72 chai, dung dịch tiêm truyền, đường tiêm truyền",Fresenius Kabi Bidiphar -Việt Nam,Vietnam,Chai,15e3,10500,1575e5,TMTN,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6183,TRUE,Injection
6202,Roxithromycin,500mg,Remeclar 500,VN-5163-10,"Hộp 2 vỉ x 7 viên, viên nén bao phim,uống",Remedica - Cyprus,Cyprus,Viên,15e3,18500,2775e5,Tung Linh,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C6202,TRUE,Oral
6215,Cloxacillin,1g,Tazam 1g,VN-13360-11,"Hộp 50 lọ, bột pha tiêm, tiêm",Panpharma - Pháp,France,Lọ,1e3,52500,525e5,TW1,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C6215,TRUE,Injection
6254,Cefotaxime,1g,Tarcefoksym,VN-18105-14,"Hộp 1 lọ, bột pha tiêm, tiêm","Tarchomin - 
Ba Lan",Poland,Lọ,15e4,19400,291e7,TW1,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C6254,TRUE,Injection
6271,Roxithromycin,250mg,Ceteco Cenclar 250,VD-15593-11,Uống,CETECO US- Việt Nam,Vietnam,Viên,3e3,1550,465e4,TW3,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6271,TRUE,Oral
6285,Ceftazidime,1g,Ceftazidime Panpharma 1g,VN-16407-13,Tiêm,Panpharma - Pháp,France,Lọ,1e4,38e3,38e7,V.lam,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C6285,TRUE,Injection
6286,Ceftriaxone,1g,Ceftriaxone Panpharma,VN-14834-12,Tiêm,Panpharma - Pháp,France,Lọ,8e3,23e3,184e6,V.lam,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C6286,TRUE,Injection
6287,Cefuroxime,750mg,Cefuroxime Panpharma,VN-14390-11,Tiêm,Panpharma - Pháp,France,Lọ,5e3,23e3,115e6,V.lam,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C6287,TRUE,Injection
6288,Levofloxacin,500mg/100ml,Levobac,VN - 9105 -09,Tiêm truyền,Popular Infusions Ltd.- Bangladesh,Bangladesh,TúiChai,3e3,27e3,81e6,V.lam,BV ĐK TW Thái nguyên,5,2015,national,2015-2016,C6288,TRUE,Injection
6299,Metronidazole,250mg,METRONIDAZOL,VD - 15659 - 11,Uống,VINPHACO-Việt Nam,Vietnam,Viên,5e4,120,6e6,V.Phuc,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6299,TRUE,Oral
6320,Ampicillin,1g,Ampicilin VCP,VD-14895-11,Tiêm,Công ty CPDP VCP - Việt Nam,Vietnam,Lọ,1e3,3434,3434e3,VCP,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6320,TRUE,Injection
6321,Cefixime,200mg,CEFIMBRANO 200,VD-22232-15,Hộp 1vỉ 10viên nén b.phim. Viên uống,"VIDIPHA, VN",Vietnam,Viên,5e3,1377.6,6888e3,Vidipha,BV ĐK TW Thái nguyên,5,2015,national,2015-2016,C6321,TRUE,Oral
6324,Cefpodoxime,200mg,Cadicefpo 200,VD-13350-10,"Hộp 2 vỉ x 5 viên, Viên nang, Uống",Công ty TNHH US Pharma USA - Việt Nam,Vietnam,Viên,5e3,2040,102e5,Viet A,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6324,TRUE,Oral
6366,Tobramicin,"0,3%, 3,5g","Tobrex Eye Ointment 3,5g",VN-16935-13,"Hộp 1 tuýp x 3,5g, Thuốc mỡ tra mắt, Tra mắt",Alcon Cusi S.A - Tây Ban Nha,Spain,Tube,300,49500,1485e4,Vimedimex,BV ĐK TW Thái nguyên,1,2015,national,2015-2016,C6366,TRUE,Ocular/Otic route
6373,Gentamicin,80mg/2ml,Gentamycin 80mg/2ml,VD-18631-13,Hộp 50 ống x 2ml thuốc tiêm; Tiêm,Dopharma-Việt Nam,Vietnam,Ống,2e4,985,197e5,VTYTTN,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6373,TRUE,Injection
6379,Chloramphenicol,"0,4%","Cloramphenicol 0,4%",VD-11223-10,"Kiện 450 lọ 8ml, thuốc nhỏ mắt",HD Pharma - Việt Nam,Vietnam,Lọ,5e3,1250,625e4,VTYTTN,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6379,TRUE,Ocular/Otic route
6396,Tetracycline,1%/5g,Tetracyclin 1%,VD-10357-10,Hộp 100 tube; mỡ tra mắt,Quảng Bình - Việt Nam,Vietnam,Tube,1e3,2900,29e5,VTYTTN,BV ĐK TW Thái nguyên,3,2015,national,2015-2016,C6396,TRUE,Ocular/Otic route
6415,Amoxicillin,250mg,Clamoxyl Sac 250mg 12's,VN-18308-14,Uống,Glaxo Wellcome Production - Pháp -Pháp,France,Gói,2e4,5090,1018e5,DLTW2,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6415,TRUE,Oral
6422,Roxithromycin,500mg,Zitromax Tab 500mg 3's,VN-11235-10,Uống,Haupt Pharma Latina Srl- Ý -Ý,Italy,Viên,900,89820,80838e3,DLTW2,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6422,TRUE,Oral
6423,Roxithromycin,600mg/15ml,Zitromax Pos Sus 200mg5ml 15ml,VN-13300-11,Uống,Haupt Pharma Latina Srl- Ý -Ý,Italy,Lọ,500,115988,57994e3,DLTW2,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6423,TRUE,Oral
6429,Ceftazidime,1g,Fortum Inj.1g 1's ( Italy),VN-10705-10,Tiêm,GlaxoSmithKline Manufacturing SpA- Ý -Ý,Italy,Lọ,5e3,75600,378e6,DLTW2,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6429,TRUE,Injection
6431,Cefuroxime,500mg,Zinnat Tab 500mg 10's,VN-10261-10,Uống,Glaxo Operations UK Ltd -Anh -Anh,UK,Viên,3e3,24589,73767e3,DLTW2,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6431,TRUE,Oral
6432,Cefuroxime,125mg,Zinnat Sus Sac 125mg/5 ml 10's,VN-9663-10,Uống,Glaxo Operations UK Ltd -Anh -Anh,UK,Gói,1e3,15022,15022e3,DLTW2,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6432,TRUE,Oral
6434,Ciprofloxacin,500mg,Ciprobay Tab 500mg 10's,VN-14009-11,Uống,Bayer Pharma AG -Đức,Germany,Viên,3e3,13913,41739e3,DLTW2,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6434,TRUE,Oral
6435,Ciprofloxacin,200mg,Ciprobay IV Inj 200mg 100ml,VN-14008-11,Tiêm truyền,Bayer Pharma AG -Đức,Germany,Chai,8e3,246960,197568e4,DLTW2,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6435,TRUE,Injection
6439,Cyclosporine,25mg,Sandimmun Neoral Cap 25mg 10x5's,VN-14760-12,Uống,Catalent Germany Eberbach GmbH -Đức,Germany,Viên,100,16938,1693800,DLTW2,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6439,TRUE,Oral
6440,Cyclosporine,100mg,Sandimmun Neoral Cap 100mg 10x5's,VN-14759-12,Uống,Catalent Germany Eberbach GmbH -Đức,Germany,Viên,200,67294,13458800,DLTW2,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6440,TRUE,Oral
6441,Cyclosporine,50mg/ml,Sandimmun Inf 50mg/ml 1mlx10's,VN-15102-12,Lọ,Novartis Pharma Stein AG -Thụy Sĩ,Switzerland,Tiêm,50,63328,3166400,DLTW2,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6441,TRUE,"NA"
6467,Meropenem,1g,Meronem Inj 1g 10's,VN-17831-14,Tiêm,"ACS Dobfar S.P.A; cơ sở đóng gói 1:Zambon Switzerland Ltd./ cơ sở đóng gói 2: AstraZeneca UK Limited -Ý đóng gói Thụy Sỹ, Anh",UK,Lọ,700,803723,562606100,DLTW2,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6467,TRUE,Injection
6477,Moxifloxacin,400mg,Avelox Tab 400mg 5's,VN-9005-09,Uống,Bayer Pharma AG -Đức,Germany,Viên,1e3,52500,525e5,DLTW2,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6477,TRUE,Oral
6478,Moxifloxacin,400mg/250ml,Avelox Inj 400mg250ml 1's,VN-18602-15,Tiêm truyền,Bayer Pharma AG -Đức,Germany,Chai/Túi,2500,367500,91875e4,DLTW2,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6478,TRUE,Injection
6526,Roxithromycin,500mg,Klacid MR,VN-9913-10,"Hộp 1 vỉ x 5 viên, Viên nén giải phóng chậm, Uống",Aesica Queenborough Ltd- Anh,UK,Viên,1e3,36375,36375e3,P.Bac,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6526,TRUE,Oral
6543,Levofloxacin,500mg,Tavanic,VN-10551-10,"Hộp 1 vỉ x 5 viên, Viên nén bao phim, Uống",Sanofi Winthrop Industrie- Pháp,France,Viên,1e3,37950,3795e4,P.Bac,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6543,TRUE,Oral
6544,Levofloxacin,500mg,Tavanic,VN-11312-10,"Hộp 1 lọ 100ml, Dung dịch tiêm truyền, Tiêm truyền tĩnh mạch",Sanofi-Aventis Deutschland GmbH- Đức,Germany,Lọ,1500,180200,2703e5,P.Bac,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6544,TRUE,Injection
6570,Ceftriaxone,1g,Rocephin IV,VN-17036-13,"Hộp 1 lọ thuốc + 1 ống 10ml dung môi pha tiêm, Thuốc bột pha tiêm  có dung môi, Tiêm",F.Hoffmann-La Roche Ltd - Thụy Sĩ,Switzerland,Lọ,12e3,181440,217728e4,Vimedimex,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6570,TRUE,Injection
6587,Levofloxacin,"0,5%/ 5ml",Cravit,VN - 5621 - 10,"Hộp 1 lọ 5ml, Dung dịch nhỏ mắt, Nhỏ mắt",Santen Pharmaceutical Co. Ltd. - Nhật,Japan,Lọ,1500,81482,122223e3,Vimedimex,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6587,TRUE,Ocular/Otic route
6592,Moxifloxacin,0.5%/ 5ml,Vigamox Drop ,VN-15707-12,"Hộp 1 lọ 5ml, Dung dịch nhỏ mắt, Nhỏ mắt","Alcon Laboratories, Inc. - Mỹ",USA,Lọ,300,9e4,27e6,Vimedimex,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6592,TRUE,Ocular/Otic route
6596,Ofloxacin,"3mg/ ml, 5ml",Oflovid,VN - 5622 - 10,"Hộp 1 lọ 5ml, Dung dịch nhỏ mắt, Nhỏ mắt",Santen Pharmaceutical Co. Ltd. - Nhật,Japan,Lọ,2500,55872,13968e4,Vimedimex,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6596,TRUE,Ocular/Otic route
6607,Tobramicin,"0.3%, 5ml",Tobrex,VN-7954-09 (có biên nhận gia hạn),"Hộp 1 lọ 5ml, Dung dịch nhỏ mắt, Nhỏ mắt",s.a Alcon Couvreur NV - Bỉ,Belgium,Lọ,3e3,4e4,12e7,Vimedimex,BV ĐK TW Thái nguyên,BDG,2015,national,2015-2016,C6607,TRUE,Ocular/Otic route
6657,Amikacin,250mg/2ml,Amikacin 250mg/2ml,VN-17406-13,"H 10 ống, DD tiêm",Sopharma PLC -  Bulgaria,Bulgary,Ống,5e4,25445,127225e4,"TMDP
Vạn Xuân",BV Bạch Mai,1,2015,national,2015-2016,C6657,TRUE,Injection
6658,Amikacin,500mg,Amikan 500mg,VN-17299-13,"H 1 lọ, DD tiêm",Anfarm Hellas S.A - Hy Lạp,Greece,Lọ,3e4,34500,1035e6,Nam Phương,BV Bạch Mai,1,2015,national,2015-2016,C6658,TRUE,Injection
6680,Cefaclor,125mg/5ml- 60ml,Medoclor 125mg/5ml60ml,VN-13781-11,"H 1 chai, cốm pha hỗn dịch uống",Medochemie - Ship,Cyprus,Chai,1e3,88200,882e5,U.N.I,BV Bạch Mai,1,2015,national,2015-2016,C6680,TRUE,Oral
6681,Cefamandole,1g,Tarcefandol 1g,VN-17603-13,"H 1 lọ, bột pha tiêm",Tarchomin Pharmaceutical Works Polfa S.A-Ba Lan,Poland,Lọ,2e4,67e3,134e7,Âu Việt,BV Bạch Mai,1,2015,national,2015-2016,C6681,TRUE,Injection
6682,Cefazolin,1g,Cefazolin Actavis 1g,VN-17013-10,"H 10 lọ, bột pha tiêm",Balkanpharma Razgrad AD - Bulgaria,Bulgary,Lọ,3e4,21e3,63e7,Phú Thái,BV Bạch Mai,1,2015,national,2015-2016,C6682,TRUE,Injection
6683,Cefepime,1g,Cefeme 1g,VN-19241-15,"H 1 lọ, bột pha tiêm bắp, tiêm TM",Medochemie - Ship,Cyprus,Lọ,6e4,84800,5088e6,Gia Minh,BV Bạch Mai,1,2015,national,2015-2016,C6683,TRUE,Injection
6684,Cefepime,2g,Cefeme 2g,VN-19242-15,"H 1 lọ, bột pha tiêm bắp, tiêm TM",Medochemie - Ship,Cyprus,Lọ,2e4,179800,3596e6,Gia Minh,BV Bạch Mai,1,2015,national,2015-2016,C6684,TRUE,Injection
6688,Cefotaxime,1g,Tarcefoksym 1g,VN-18105-14,"H 1 lọ, bột pha tiêm",Tarchomin - Ba Lan,Poland,Lọ,5e3,18900,945e5,CPC1,BV Bạch Mai,1,2015,national,2015-2016,C6688,TRUE,Injection
6689,Cefprozil,250mg/5ml-100ml,Pricefil 250mg/5ml-100ml,VN-18238-14,H 1 chai bột pha hỗn dịch uống,Vianex S.A- Nhà máy D- Hy Lạp,Greece,Chai,1e3,305e3,305e6,"ĐTPT 
Hưng Thành",BV Bạch Mai,1,2015,national,2015-2016,C6689,TRUE,Oral
6690,Ceftazidime,1g,Ceftazidime Kabi 1g,VN-13542-11,H 10 lọ bột pha DD tiêm,Labesfal - Laboratorios Almiro- Bồ Đào Nha,Portugal,Lọ,5e4,35070,17535e5,Hapharco,BV Bạch Mai,1,2015,national,2015-2016,C6690,TRUE,Injection
6691,Ceftazidime,2g,Ceftazidime Gerda 2g,VN-17905-14,H 01 lọ bột pha tiêm,LDP Laboratorios Torlan S.A - Tây Ban Nha,Spain,Lọ,3e4,117445,352335e4,"TMDP
Vạn Xuân",BV Bạch Mai,1,2015,national,2015-2016,C6691,TRUE,Injection
6692,Ceftriaxone,1g,Tartriakson 1g,VN-5594-10,H 01 lọ bột pha tiêm,Tarchomin - Ba Lan,Poland,Lọ,5e4,21840,1092e6,CPC1,BV Bạch Mai,1,2015,national,2015-2016,C6692,TRUE,Injection
6693,Cefuroxime,"1,5g","Medaxetine 1,5g",VN-19244-15,H 01 lọ bột pha tiêm,Medochemie - Ship,Cyprus,Lọ,1e4,41500,415e6,Thiên Kim,BV Bạch Mai,1,2015,national,2015-2016,C6693,TRUE,Injection
6694,Cefuroxime,750mg,Cefuroxime Actavis 750mg,VN-18620-15,"H 5 lọ bột pha DD tiêm bắp, tiêm TM",Balkanpharma Razgrad AD - Bulgaria,Bulgary,Lọ,5e4,21890,10945e5,Thăng Long,BV Bạch Mai,1,2015,national,2015-2016,C6694,TRUE,Injection
6697,Ciprofloxacin,"1% 20ml
(200mg/20ml)",Proxacin 1% 20ml (200mg/20ml),VN-15653-12,H 10 lọ DD đậm đặc để pha DD tiêm truyền,Warsaw Pharmaceutical Works Polfa SA-  Ba Lan,Poland,Lọ,13e4,136e3,1768e7,Duy Anh,BV Bạch Mai,1,2015,national,2015-2016,C6697,TRUE,Injection
6698,Ciprofloxacin,400mg/200ml,Ciprofloxacin Polpharma 400mg/200ml,VN-18952-15,DD tiêm truyền,Pharmaceutical Works Polpharma S.A - Ba Lan,Poland,Túi,6e4,188e3,1128e7,Duy Anh,BV Bạch Mai,1,2015,national,2015-2016,C6698,TRUE,Injection
6699,Ciprofloxacin,200mg/100ml,Ciprinol 200mg/100ml,VN-17885-14,"H 1 chai, DD tiêm truyền","KRKA, D.D, Novo Mestro - Slovenia",Slovenia,Chai,15e3,64445,966675e3,"TMDP
Vạn Xuân",BV Bạch Mai,1,2015,national,2015-2016,C6699,TRUE,Injection
6703,Clindamycin,600mg/4ml,Clidacin/Vianex 600mg/4ml,VN-18860-15,"H 1 ống, DD tiêm bắp, tiêm TM",Vianex S.A- Nhà máy D- Hy Lạp,Greece,Ống,1e4,92e3,92e7,"ĐTPT 
Hưng Thành",BV Bạch Mai,1,2015,national,2015-2016,C6703,TRUE,Injection
6707,Cloxacillin,1g,Tazam 1g,VN-13360-11,"H 50 lọ, bột pha tiêm, tiêm truyền TM",Panpharma - Pháp,France,Lọ,3e3,52500,1575e5,CPC1,BV Bạch Mai,1,2015,national,2015-2016,C6707,TRUE,Injection
6777,Imipenem+Cilastatin,500mg + 500mg,Imipenem cilastatin Kabi 500mg/500mg,VN-14046-11,H 10 lọ bột pha DD tiêm truyền TM,Facta Farmaceutici SPA - Italia,Italy,Lọ,3e4,175350,52605e5,Hapharco,BV Bạch Mai,1,2015,national,2015-2016,C6777,TRUE,Injection
6803,Levofloxacin,500mg/100ml,Lobitzo 500mg/100ml,VN-12959-11,"H 1 chai, DD tiêm truyền",Rotexmedica - Đức,Germany,Chai,12e3,86730,104076e4,CPC1,BV Bạch Mai,1,2015,national,2015-2016,C6803,TRUE,Injection
6804,Levofloxacin,750mg/150ml,Levogolds 750mg/150ml,VN-18523-14,Túi DD truyền TM,ACS Dobfar info SA- Thụy Sỹ,Switzerland,Túi,5e3,25e4,125e7,Codupha,BV Bạch Mai,1,2015,national,2015-2016,C6804,TRUE,Injection
6812,Meropenem,1g,Tiepanem 1g,VN-18440-14,H 10 lọ bột pha tiêm,Facta Farmaceutici SPA - Italia,Italy,Lọ,3e4,308900,9267e6,Phương Linh,BV Bạch Mai,1,2015,national,2015-2016,C6812,TRUE,Injection
6813,Meropenem,500mg,Medozopen 500mg,VN-16324-13,H 01 lọ bột pha tiêm,Medochemie - Ship,Cyprus,Lọ,1e4,195e3,195e7,Thiên Kim,BV Bạch Mai,1,2015,national,2015-2016,C6813,TRUE,Injection
6817,Metronidazole,500mg/100ml,Trichopol 500mg/100ml,VN-18045-14,H 1 túi DD truyền TM,Pharmaceutical Works Polpharma S.A - Ba Lan,Poland,Túi,9e4,26500,2385e6,Phú Thái,BV Bạch Mai,1,2015,national,2015-2016,C6817,TRUE,Injection
6840,Ofloxacin,200mg/40ml,Goldoflo 200mg/40ml,5862/QLD-KD,"H 10 túi, DD truyền TM",ACS Dobfar info SA- Thụy Sỹ,Switzerland,Túi,1e4,155e3,155e7,Hà Lan,BV Bạch Mai,1,2015,national,2015-2016,C6840,TRUE,Injection
6888,Tobramicin,"0,3% 5ml","Tobrin 0,3% 5ml",VN-10714-10,"H 1 lọ, DD nhỏ mắt","Balkan pharma, Bulgari",Bulgary,Lọ,1e3,39e3,39e6,Phương Linh,BV Bạch Mai,1,2015,national,2015-2016,C6888,TRUE,Ocular/Otic route
6889,Tobramicin,80mg/2ml,Brulamycin 80mg/2ml,VN-15287-12,"H 2 vỉ x 5 ống, DD tiêm",Teva Pharmaceutical Works Private Limited Company - Hung,Hungary,Ống,2e4,36e3,72e7,Gia Minh,BV Bạch Mai,1,2015,national,2015-2016,C6889,TRUE,Oral
